0:0:0:0:0:0:0:1 - - [25/Oct/2019:10:34:05 -0300] "GET /Opportunity/Home.jsp HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:23:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:23:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:23:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:23:45 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - - [25/Oct/2019:16:23:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:23:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:23:46 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - - [25/Oct/2019:16:24:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:24:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:24:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:24:15 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - - [25/Oct/2019:16:24:23 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:24:23 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:24:23 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:24:23 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - - [25/Oct/2019:16:26:01 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:26:01 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:26:01 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:26:01 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - - [25/Oct/2019:16:26:14 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:26:14 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:26:14 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:26:14 -0300] "GET /manager/text/list HTTP/1.1" 200 154
